date,city,price,br,lsqft,bsqft
2006-12-03,Berkeley,669000.0,4.0,4000.0,1092.0
2006-01-29,Berkeley,630000.0,3.0,4000.0,1386.0
2006-12-10,Berkeley,565500.0,,2693.0,1147.0
2006-07-02,Berkeley,575000.0,2.0,4800.0,918.0
2006-08-13,Berkeley,888000.0,2.0,4500.0,1458.0
2006-08-27,Berkeley,780000.0,3.0,3040.0,1136.0
2006-01-01,Berkeley,765000.0,2.0,5200.0,1068.0
2006-02-19,Berkeley,625000.0,2.0,5400.0,1229.0
2006-11-26,Berkeley,804000.0,2.0,2250.0,1395.0
2006-12-10,Berkeley,850000.0,4.0,3200.0,1464.0
2006-07-23,Berkeley,724000.0,2.0,6075.0,1174.0
2006-12-31,Berkeley,499000.0,2.0,2501.0,771.0
2006-05-07,Berkeley,540000.0,,6750.0,1484.0
2006-09-03,Berkeley,910000.0,2.0,3600.0,1880.0
2006-05-21,Berkeley,875000.0,3.0,5550.0,1464.0
2006-02-12,Berkeley,535000.0,2.0,3560.0,1090.0
2006-12-03,Berkeley,817000.0,,6750.0,2968.0
2006-05-21,Berkeley,225000.0,2.0,4725.0,1007.0
2006-05-28,Berkeley,600000.0,2.0,4400.0,1056.0
2006-03-05,Berkeley,780000.0,2.0,5400.0,1218.0
2006-09-10,Berkeley,570000.0,2.0,5400.0,1110.0
2006-09-17,Berkeley,785000.0,3.0,3296.0,1732.0
2006-05-07,Berkeley,728000.0,6.0,4725.0,3114.0
2006-07-09,Berkeley,605000.0,2.0,5400.0,960.0
2006-08-13,Berkeley,637500.0,2.0,4995.0,1166.0
2006-07-09,Berkeley,750000.0,2.0,3560.0,1209.0
2006-06-25,Berkeley,950000.0,5.0,6384.0,1682.0
2006-12-24,Berkeley,733000.0,2.0,6750.0,1663.0
2006-06-18,Berkeley,560000.0,2.0,1840.0,839.0
2006-05-07,Berkeley,620000.0,3.0,3800.0,971.0
2006-07-16,Berkeley,710000.0,4.0,4375.0,1961.0
2006-04-23,Berkeley,475000.0,1.0,2340.0,477.0
2006-07-09,Berkeley,931000.0,3.0,5400.0,1769.0
2006-01-15,Berkeley,830000.0,3.0,5400.0,2753.0
2006-07-30,Berkeley,650000.0,3.0,6750.0,1485.0
2006-07-30,Berkeley,540000.0,2.0,4585.0,1047.0
2006-05-07,Berkeley,670000.0,2.0,4100.0,1079.0
2006-02-12,Berkeley,715000.0,5.0,5030.0,2652.0
2006-03-19,Berkeley,790000.0,2.0,2275.0,992.0
2006-08-20,Berkeley,843500.0,4.0,5400.0,2342.0
2006-12-10,Berkeley,830000.0,5.0,5535.0,2269.0
2006-03-05,Berkeley,725000.0,8.0,6750.0,4330.0
2006-10-08,Berkeley,620000.0,2.0,4000.0,986.0
2006-07-23,Berkeley,735000.0,3.0,3500.0,1937.0
2006-10-29,Berkeley,600000.0,2.0,3400.0,1064.0
2006-02-12,Berkeley,520000.0,2.0,4050.0,922.0
2006-08-06,Berkeley,560000.0,,2258.0,1906.0
2006-07-23,Berkeley,557500.0,2.0,4620.0,1026.0
2006-07-30,Berkeley,650000.0,3.0,5535.0,1476.0
2006-10-08,Berkeley,750000.0,4.0,2760.0,1911.0
2006-09-17,Berkeley,605000.0,3.0,3000.0,1558.0
2006-11-12,Berkeley,630000.0,,2520.0,1661.0
2006-10-15,Berkeley,850000.0,8.0,4950.0,2496.0
2006-09-17,Berkeley,610000.0,3.0,4000.0,2282.0
2006-04-23,Berkeley,567000.0,3.0,4000.0,1123.0
2006-10-08,Berkeley,730000.0,3.0,4000.0,1123.0
2006-09-24,Berkeley,1000000.0,3.0,3120.0,1816.0
2006-07-09,Berkeley,745000.0,3.0,3800.0,1841.0
2006-12-17,Berkeley,860000.0,3.0,4590.0,1459.0
2006-11-19,Berkeley,1100000.0,6.0,9275.0,3078.0
2006-11-26,Berkeley,830000.0,3.0,6250.0,1669.0
2006-02-05,Berkeley,879500.0,7.0,6480.0,2504.0
2006-06-11,Berkeley,632000.0,2.0,3000.0,1113.0
2006-11-26,Berkeley,745000.0,3.0,2880.0,1361.0
2006-11-26,Berkeley,510000.0,2.0,5400.0,1296.0
2006-08-06,Berkeley,912000.0,2.0,2640.0,1143.0
2006-09-24,Berkeley,435000.0,1.0,6250.0,697.0
